threads,time,hashes_checked
1x1,3.164578,16777216
1x1,3.175389,16777216
1x1,3.147231,16777216
1x1,3.154360,16777216
1x1,3.160686,16777216
1x1,3.152758,16777216
1x1,3.160082,16777216
1x1,3.139686,16777216
1x1,3.156743,16777216
1x1,3.168209,16777216
1x2,1.621001,16777216
1x2,1.689951,16777216
1x2,1.620237,16777216
1x2,1.606345,16777216
1x2,1.614235,16777216
1x2,1.622127,16777216
1x2,1.614657,16777216
1x2,1.613560,16777216
1x2,1.620926,16777216
1x2,1.632788,16777216
1x4,0.900631,16777216
1x4,0.848719,16777216
1x4,0.969725,16777216
1x4,0.940081,16777216
1x4,0.987532,16777216
1x4,1.004994,16777216
1x4,0.853853,16777216
1x4,0.869647,16777216
1x4,0.979821,16777216
1x4,0.866846,16777216
1x8,0.471766,16777216
1x8,0.507934,16777216
1x8,0.462679,16777216
1x8,0.511023,16777216
1x8,0.458248,16777216
1x8,0.513130,16777216
1x8,0.467348,16777216
1x8,0.506872,16777216
1x8,0.500063,16777216
1x8,0.498322,16777216
1x16,0.305793,16777216
1x16,0.324290,16777216
1x16,0.308774,16777216
1x16,0.305138,16777216
1x16,0.321069,16777216
1x16,0.296957,16777216
1x16,0.315693,16777216
1x16,0.301355,16777216
1x16,0.325689,16777216
1x16,0.311223,16777216
1x24,0.304145,16777216
1x24,0.302249,16777216
1x24,0.278941,16777216
1x24,0.302604,16777216
1x24,0.292430,16777216
1x24,0.307290,16777216
1x24,0.292869,16777216
1x24,0.305993,16777216
1x24,0.312511,16777216
1x24,0.299594,16777216
1x32,0.238522,16777216
1x32,0.242681,16777216
1x32,0.233313,16777216
1x32,0.231261,16777216
1x32,0.231714,16777216
1x32,0.222979,16777216
1x32,0.233211,16777216
1x32,0.231545,16777216
1x32,0.226203,16777216
1x32,0.221809,16777216
1x40,0.228483,16777216
1x40,0.258895,16777216
1x40,0.218487,16777216
1x40,0.242813,16777216
1x40,0.237868,16777216
1x40,0.216458,16777216
1x40,0.239329,16777216
1x40,0.238112,16777216
1x40,0.252273,16777216
1x40,0.253953,16777216
1x48,0.228019,16777216
1x48,0.232622,16777216
1x48,0.234620,16777216
1x48,0.222242,16777216
1x48,0.224451,16777216
1x48,0.229777,16777216
1x48,0.226704,16777216
1x48,0.220650,16777216
1x48,0.219260,16777216
1x48,0.241791,16777216
1x56,0.213586,16777216
1x56,0.202210,16777216
1x56,0.210030,16777216
1x56,0.210641,16777216
1x56,0.214913,16777216
1x56,0.202520,16777216
1x56,0.202735,16777216
1x56,0.200420,16777216
1x56,0.195295,16777216
1x56,0.208140,16777216
1x64,0.221804,16777216
1x64,0.187927,16777216
1x64,0.216313,16777216
1x64,0.210627,16777216
1x64,0.209442,16777216
1x64,0.209214,16777216
1x64,0.221505,16777216
1x64,0.214153,16777216
1x64,0.221651,16777216
1x64,0.217110,16777216
